comuna,region
Algarrobo,Región de Valparaíso
Alhué,RM (Metropolitana)
Alto Biobío,Región del Biobío
Alto del Carmen,Región de Atacama
Alto Hospicio,Región de Tarapacá
Ancud,Región de Los Lagos
Andacollo,Región de Coquimbo
Angol,Región de la Araucanía
Antártica,Región de Magallanes y la Antártica Chilena
Antofagasta,Región de Antofagasta
Antuco,Región del Biobío
Arauco,Región del Biobío
Arica,Región de Arica y Parinacota
Aysén,Región de Aysén del General Carlos Ibáñez del Campo
Buin,RM (Metropolitana)
Bulnes,Región de Ñuble
Cabildo,Región de Valparaíso
Cabo de Hornos,Región de Magallanes y la Antártica Chilena
Cabrero,Región del Biobío
Calama,Región de Antofagasta
Calbuco,Región de Los Lagos
Caldera,Región de Atacama
Calera de Tango,RM (Metropolitana)
Calle Larga,Región de Valparaíso
Camarones,Región de Arica y Parinacota
Camiña,Región de Tarapacá
Canela,Región de Coquimbo
Cañete,Región del Biobío
Carahue,Región de la Araucanía
Cartagena,Región de Valparaíso
Casablanca,Región de Valparaíso
Castro,Región de Los Lagos
Catemu,Región de Valparaíso
Cauquenes,Región del Maule
Cerrillos,RM (Metropolitana)
Cerro Navia,RM (Metropolitana)
Chaitén,Región de Los Lagos
Chañaral,Región de Atacama
Chanco,Región del Maule
Chépica,Región del Libertador General Bernardo O'Higgins
Chiguayante,Región del Biobío
Chile Chico,Región de Aysén del General Carlos Ibáñez del Campo
Chillán,Región de Ñuble
Chillán Viejo,Región de Ñuble
Chimbarongo,Región del Libertador General Bernardo O'Higgins
Cholchol,Región de la Araucanía
Chonchi,Región de Los Lagos
Cisnes,Región de Aysén del General Carlos Ibáñez del Campo
Cobquecura,Región de Ñuble
Cochamó,Región de Los Lagos
Cochrane,Región de Aysén del General Carlos Ibáñez del Campo
Codegua,Región del Libertador General Bernardo O'Higgins
Coelemu,Región de Ñuble
Coihueco,Región de Ñuble
Coinco,Región del Libertador General Bernardo O'Higgins
Colbún,Región del Maule
Colchane,Región de Tarapacá
Colina,RM (Metropolitana)
Collipulli,Región de la Araucanía
Coltauco,Región del Libertador General Bernardo O'Higgins
Combarbalá,Región de Coquimbo
Concepción,Región del Biobío
Conchalí,RM (Metropolitana)
Concón,Región de Valparaíso
Constitución,Región del Maule
Contulmo,Región del Biobío
Copiapó,Región de Atacama
Coquimbo,Región de Coquimbo
Coronel,Región del Biobío
Corral,Región de Los Ríos
Coyhaique,Región de Aysén del General Carlos Ibáñez del Campo
Cunco,Región de la Araucanía
Curacautín,Región de la Araucanía
Curacaví,RM (Metropolitana)
Curaco de Vélez,Región de Los Lagos
Curanilahue,Región del Biobío
Curarrehue,Región de la Araucanía
Curepto,Región del Maule
Curicó,Región del Maule
Dalcahue,Región de Los Lagos
Diego de Almagro,Región de Atacama
Doñihue,Región del Libertador General Bernardo O'Higgins
El Bosque,RM (Metropolitana)
El Carmen,Región de Ñuble
El Monte,RM (Metropolitana)
El Quisco,Región de Valparaíso
El Tabo,Región de Valparaíso
Empedrado,Región del Maule
Ercilla,Región de la Araucanía
Estación Central,RM (Metropolitana)
Florida,Región del Biobío
Freire,Región de la Araucanía
Freirina,Región de Atacama
Fresia,Región de Los Lagos
Frutillar,Región de Los Lagos
Futaleufú,Región de Los Lagos
Futrono,Región de Los Ríos
Galvarino,Región de la Araucanía
General Lagos,Región de Arica y Parinacota
Gorbea,Región de la Araucanía
Graneros,Región del Libertador General Bernardo O'Higgins
Guaitecas,Región de Aysén del General Carlos Ibáñez del Campo
